,Bedrooms,Bathrooms,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Census Results,NZDep2018
count,1051.0,1049.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0
mean,3.7773549000951476,2.073403241182078,1387520.5518553758,-36.89371485680303,174.79932536993348,7006319.182683159,47.54900095147479,28.963843958135108,27.042816365366317,24.125594671741197,22.61560418648906,29.36060894386299,179.91436726926736,5.063748810656517
std,1.1694121627154952,0.9929849126088874,1182939.3647126392,0.13010038927032208,0.11953841711770465,2591.2617626912115,24.692204793666754,21.037441136955458,17.975408420118157,10.942769802730606,10.210578272479015,21.8050306386541,71.05927969998179,2.9134709834027035
min,1.0,1.0,270000.0,-37.2650209,174.3170782,7001130.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
25%,3.0,1.0,780000.0,-36.95056515,174.72077915000003,7004415.5,33.0,15.0,15.0,18.0,15.0,18.0,138.0,2.0
50%,4.0,2.0,1080000.0,-36.8931322,174.7985754,7006325.0,45.0,24.0,24.0,24.0,21.0,27.0,174.0,5.0
75%,4.0,3.0,1600000.0,-36.855788649999994,174.8809439,7008383.5,57.0,36.0,33.0,30.0,27.0,36.0,210.0,8.0
max,17.0,8.0,18000000.0,-36.17765470000001,175.4924245,7011028.0,201.0,270.0,177.0,114.0,90.0,483.0,789.0,10.0
